en	ja
sintering	焼結
grain boundary	粒界
porosity	気孔率
neck	ネック
densification	緻密化
grain growth	結晶粒成長
powder compact	粉末成形体
pore	細孔
vacancy diffusion	空孔拡散
shrinkage	収縮
microstructure	微細組織
phase diagram	相図
crystal structure	結晶構造
lattice	格子
dislocation	転位
slip	すべり
yield strength	降伏強度
tensile strength	引張強度
hardness	硬度
fracture	破壊
fatigue	疲労
creep	クリープ
elastic modulus	弾性率
stress	応力
strain	ひずみ
thermal expansion	熱膨張
thermal conductivity	熱伝導率
diffusion	拡散
activation energy	活性化エネルギー
nucleation	核生成
solidification	凝固
eutectic	共晶
alloy	合金
ceramic	セラミックス
polymer	高分子
composite	複合材料
annealing	焼鈍
quenching	焼入れ
tempering	焼戻し
precipitation hardening	析出硬化
solid solution	固溶体
interstitial	侵入型
substitutional	置換型
unit cell	単位格子
Bravais lattice	ブラベー格子
Miller indices	ミラー指数
Bragg's law	ブラッグの法則
X-ray diffraction	X線回折
scanning electron microscope	走査型電子顕微鏡
transmission electron microscope	透過型電子顕微鏡
optical microscope	光学顕微鏡
tensile test	引張試験
Charpy impact test	シャルピー衝撃試験
Vickers hardness	ビッカース硬さ
corrosion	腐食
oxidation	酸化
reduction	還元
electrochemical	電気化学的
galvanic	ガルバニック
passivation	不動態化
